"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M","C16001_014E","C16001_014M","C16001_015E","C16001_015M","C16001_016E","C16001_016M","C16001_017E","C16001_017M","C16001_018E","C16001_018M","C16001_019E","C16001_019M","C16001_020E","C16001_020M","C16001_021E","C16001_021M","C16001_022E","C16001_022M","C16001_023E","C16001_023M","C16001_024E","C16001_024M","C16001_025E","C16001_025M","C16001_026E","C16001_026M","C16001_027E","C16001_027M","C16001_028E","C16001_028M","C16001_029E","C16001_029M","C16001_030E","C16001_030M","C16001_031E","C16001_031M","C16001_032E","C16001_032M","C16001_033E","C16001_033M","C16001_034E","C16001_034M","C16001_035E","C16001_035M","C16001_036E","C16001_036M","C16001_037E","C16001_037M","C16001_038E","C16001_038M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish","Margin of Error!!Total!!Spanish","Estimate!!Total!!Spanish!!Speak English "very well"","Margin of Error!!Total!!Spanish!!Speak English "very well"","Estimate!!Total!!Spanish!!Speak English less than "very well"","Margin of Error!!Total!!Spanish!!Speak English less than "very well"","Estimate!!Total!!French, Haitian, or Cajun","Margin of Error!!Total!!French, Haitian, or Cajun","Estimate!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Estimate!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!German or other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English "very well"","Estimate!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages","Margin of Error!!Total!!Russian, Polish, or other Slavic languages","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Tagalog (incl. Filipino)","Margin of Error!!Total!!Tagalog (incl. Filipino)","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well""
"0500000US12103","Pinellas County, Florida","917409","182","785727","6646","58329","4369","37516","3535","20813","3268","6734","1533","5189","1270","1545","719","5676","1501","4538","1120","1138","834","13326","3247","8249","2396","5077","1597","20054","3500","13243","2608","6811","1810","937","540","366","307","571","363","1717","794","862","514","855","544","7435","2180","3727","1674","3708","1106","5455","2123","4747","1952","708","557","6110","1929","3720","1425","2390","1050","3671","1846","2160","981","1511","1307","2238","1426","1921","1409","317","271"
"0500000US12105","Polk County, Florida","627149","340","494628","5850","103022","4746","67408","4335","35614","4030","11297","3352","5261","1978","6036","2323","2570","1054","1883","870","687","471","1062","691","414","382","648","536","4099","1672","3085","1319","1014","613","0","221","0","221","0","221","1848","1408","718","732","1130","1091","715","858","141","184","574","704","1914","1434","1914","1434","0","221","4068","2175","2100","927","1968","1494","1115","740","608","564","507","385","811","444","578","378","233","221"
"0500000US12107","Putnam County, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US12109","St. Johns County, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US12111","St. Lucie County, Florida","290840","2","220837","5563","44795","3295","26126","4486","18669","4117","12670","3826","7693","2859","4977","2367","3084","1959","3084","1959","0","221","997","755","790","773","207","256","3782","1601","2413","1082","1369","1150","0","221","0","221","0","221","472","643","152","263","320","395","0","221","0","221","0","221","1627","1084","1231","806","396","326","328","398","286","369","42","73","127","165","42","85","85","140","2121","1562","1560","1320","561","512"
"0500000US12113","Santa Rosa County, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US12115","Sarasota County, Florida","398742","584","349532","4444","26080","3642","12151","2746","13929","3238","2789","1010","2172","841","617","370","3472","831","2811","814","661","420","6218","2354","2891","1472","3327","1528","5938","2506","4399","1889","1539","901","0","221","0","221","0","221","959","653","506","339","453","379","1414","776","431","407","983","669","826","520","658","469","168","215","759","503","590","443","169","190","175","223","130","157","45","74","580","321","447","271","133","159"
"0500000US12117","Seminole County, Florida","431642","100","341004","5920","60978","4409","44749","4169","16229","2940","3233","1445","2328","1041","905","640","1163","542","1091","523","72","120","2134","993","1442","710","692","492","8971","2939","6731","1905","2240","1988","922","596","176","199","746","479","2704","1617","1923","1189","781","580","1634","886","735","544","899","563","1920","897","1834","883","86","143","2070","921","1465","741","605","439","2088","1474","1183","897","905","917","2821","2061","2249","1580","572","762"
"0500000US12119","Sumter County, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US12127","Volusia County, Florida","505045","195","437824","4016","47326","3586","35704","3933","11622","2260","3433","1248","2585","1042","848","414","1667","760","1377","704","290","234","1273","734","833","511","440","324","5028","1427","3078","1133","1950","676","1431","1137","1248","1116","183","175","1468","1083","1059","720","409","426","176","247","29","55","147","240","565","471","565","471","0","221","3003","1994","2659","1967","344","256","536","464","368","346","168","191","1315","776","577","341","738","661"
"0500000US12131","Walton County, Florida","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13013","Barrow County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13015","Bartow County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13021","Bibb County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13031","Bulloch County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13045","Carroll County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13047","Catoosa County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13051","Chatham County, Georgia","269998","222","242067","3428","14612","2408","12293","2376","2319","1013","1713","1122","1666","1121","47","77","1644","1096","1600","1093","44","72","541","439","324","284","217","216","3466","1468","2619","1234","847","574","557","429","258","353","299","218","1463","811","551","360","912","608","565","466","293","344","272","312","1465","837","1053","575","412","546","658","422","658","422","0","218","0","218","0","218","0","218","1247","701","1216","728","31","53"
"0500000US13057","Cherokee County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13059","Clarke County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13063","Clayton County, Georgia","256883","1181","205901","3015","29902","1590","16289","1788","13613","1990","4598","2324","3716","2098","882","669","312","286","213","189","99","167","0","218","0","218","0","218","184","196","83","69","101","182","171","200","105","160","66","113","2231","2325","568","649","1663","1703","7718","1593","2906","1281","4812","1287","473","527","473","527","0","218","1830","1067","974","713","856","584","184","180","184","180","0","218","3379","1451","2906","1270","473","348"
"0500000US13067","Cobb County, Georgia","700072","102","547555","8214","82857","6118","47762","4979","35095","3686","8031","2683","7553","2602","478","375","3272","1156","3176","1116","96","115","5480","2905","3506","1943","1974","1567","20584","3483","15005","3017","5579","1805","3160","1536","1963","1054","1197","675","4709","1107","2482","836","2227","651","2106","1113","964","540","1142","706","1504","775","1092","615","412","308","8008","2712","5132","1896","2876","1357","1680","973","1189","802","491","471","11126","3825","9078","3248","2048","1156"
"0500000US13073","Columbia County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13077","Coweta County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13089","DeKalb County, Georgia","686693","151","553424","8575","52248","2276","26705","2265","25543","2195","7391","2530","5563","1873","1828","1160","1347","465","1294","459","53","87","2294","1120","1046","617","1248","705","20773","3208","12115","1930","8658","2260","2512","1024","1442","750","1070","581","7842","2209","4692","1839","3150","882","2126","1250","664","444","1462","929","1482","949","668","318","814","860","7896","2045","4118","1575","3778","1478","3449","2380","1176","589","2273","2259","23909","6128","14225","4766","9684","2735"
"0500000US13095","Dougherty County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13097","Douglas County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US13113","Fayette County, Georgia","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
