"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US01069","Houston County, Alabama","97931","151","94412","565","2410","554","19","24","126","74","11","17","108","144","161","118","201","165","234","166","95","148","77","73","77","79"
"0500000US01073","Jefferson County, Alabama","617651","10","578753","3437","21894","1634","1074","679","973","606","353","264","3481","1469","1120","862","2445","1190","831","762","1056","849","1920","1377","3751","1985"
"0500000US01081","Lee County, Alabama","148070","702","137550","1652","3478","1495","124","158","942","520","0","192","2848","1727","1674","1019","712","466","0","192","150","219","104","273","488","403"
"0500000US01089","Madison County, Alabama","332523","859","311161","2884","10869","2117","1134","690","875","431","551","552","2497","1070","1161","630","270","231","388","437","1253","838","984","672","1380","946"
"0500000US01097","Mobile County, Alabama","387889","260","369411","2067","9042","1541","724","599","436","282","13","23","882","607","0","192","240","263","3517","1340","117","150","2425","1228","1082","975"
"0500000US01101","Montgomery County, Alabama","211792","468","199689","2073","5742","1060","326","346","223","168","79","104","624","452","2304","1323","324","274","161","220","156","228","970","671","1194","897"
"0500000US01117","Shelby County, Alabama","196334","342","178565","1782","11261","1273","476","295","768","478","112","133","2063","1300","0","192","1614","1144","92","150","101","119","288","357","994","745"
"0500000US01125","Tuscaloosa County, Alabama","191730","491","181863","1583","5469","954","438","397","416","411","0","192","992","593","465","454","880","611","145","232","25","50","311","296","726","832"
"0500000US02020","Anchorage Municipality, Alaska","275778","617","226241","4183","15576","2486","355","325","859","553","1840","1141","1265","648","3079","1359","386","300","854","783","12140","2531","8226","2523","4957","1646"
"0500000US02090","Fairbanks North Star Borough, Alaska","92415","565","83424","1742","2535","1024","305","297","1139","735","1208","910","328","192","144","165","171","217","244","309","1093","510","345","358","1479","974"
"0500000US02170","Matanuska-Susitna Borough, Alaska","94027","122","88680","1096","1677","548","338","306","414","225","1177","642","151","137","0","149","82","105","0","149","517","371","341","236","650","323"
"0500000US04003","Cochise County, Arizona","118900","400","81480","2479","33533","2250","119","158","389","216","206","323","136","182","888","544","0","201","323","534","544","502","562","425","720","355"
"0500000US04005","Coconino County, Arizona","131159","327","99272","2544","9480","1626","601","505","843","566","135","169","632","446","45","82","770","400","91","111","102","106","470","297","18718","1846"
"0500000US04013","Maricopa County, Arizona","3895357","*****","2848586","17693","800851","14663","12649","1964","11744","1713","20690","4282","47027","5981","7913","2341","24846","3905","19470","3772","17424","3231","33109","4477","51048","6118"
"0500000US15009","Maui County, Hawaii","154600","197","117962","3438","7809","1952","660","401","421","261","56","94","702","480","624","435","173","151","423","459","6200","1642","19185","3191","385","487"
"0500000US16001","Ada County, Idaho","407997","482","373850","4057","16141","3106","831","529","1581","822","3101","1726","2013","911","89","151","1767","1273","666","556","786","994","2566","1261","4606","1598"
"0500000US16005","Bannock County, Idaho","77518","559","72466","1300","2065","935","88","110","269","241","203","320","74","86","113","144","488","286","0","193","206","165","341","264","1205","653"
"0500000US17019","Champaign County, Illinois","197658","651","161262","2357","10039","1587","2570","1203","604","366","1872","894","4032","1123","2816","954","8422","1130","755","573","1151","652","2876","973","1259","591"
"0500000US17031","Cook County, Illinois","4902737","105","3159343","18280","1032038","11661","24502","4001","19296","2529","210415","11253","161816","9501","24719","3057","66869","6332","12723","3696","46600","4747","50951","5372","93465","9761"
"0500000US17043","DuPage County, Illinois","878867","87","645628","6383","91717","3678","2499","1012","2442","681","28483","4027","57372","5363","1676","663","11738","1848","4678","1871","11790","2272","13487","2459","7357","2153"
"0500000US17089","Kane County, Illinois","496929","525","338230","5914","128873","4943","694","440","2392","1140","5616","1955","9834","3762","712","607","920","688","400","460","5252","1850","2593","1266","1413","1110"
"0500000US17097","Lake County, Illinois","662833","81","476874","4724","114761","4215","1721","689","1723","602","18363","2190","18216","3514","5461","1754","8547","1931","535","546","5454","1395","8570","2154","2608","942"
"0500000US17111","McHenry County, Illinois","290464","659","248887","3027","26489","2441","1122","718","1448","646","4191","1548","3349","1374","0","182","278","292","0","182","2504","1185","1182","817","1014","572"
"0500000US17113","McLean County, Illinois","163229","224","152297","1838","3090","1342","302","373","242","177","226","282","1988","1022","414","285","434","312","0","182","94","112","3825","1136","317","333"
"0500000US17119","Madison County, Illinois","250797","325","242355","2031","3607","1026","410","293","600","376","311","304","1429","1329","261","275","975","508","99","168","216","207","294","344","240","216"
"0500000US17143","Peoria County, Illinois","173027","522","157540","1995","6584","1129","1260","563","990","460","37","58","2197","1007","93","148","1283","899","951","1082","128","148","838","717","1126","1060"
"0500000US17161","Rock Island County, Illinois","138260","489","119441","2554","12141","1697","909","718","153","149","201","228","1005","749","84","137","92","135","14","33","338","229","1650","773","2232","1293"
"0500000US17163","St. Clair County, Illinois","247491","248","234146","2007","5344","1238","1016","558","2222","1001","466","441","1137","671","114","120","75","86","1690","1063","543","448","250","237","488","361"
"0500000US17167","Sangamon County, Illinois","186919","180","177470","1262","3104","794","712","441","646","406","323","277","1118","588","332","317","809","441","75","125","675","480","1043","539","612","420"
"0500000US17197","Will County, Illinois","646875","144","522599","5713","76546","4397","753","472","1360","747","7340","1663","15435","2496","2212","1023","2406","938","796","748","5094","1660","5446","1556","6888","2652"
"0500000US17201","Winnebago County, Illinois","269868","328","231829","2811","25825","1910","558","428","1513","1001","2581","1004","2004","766","115","105","452","387","325","330","915","623","2796","1105","955","738"
"0500000US18003","Allen County, Indiana","342359","86","307736","2993","17091","1710","288","176","3984","2148","1310","804","2576","1252","130","214","440","450","1622","1440","495","400","6090","1878","597","366"
"0500000US18057","Hamilton County, Indiana","288826","555","260708","2858","7346","1461","630","449","908","431","561","513","7174","2629","1065","946","3572","1408","659","1073","0","189","3771","1919","2432","1596"
"0500000US18089","Lake County, Indiana","457440","155","388793","4644","45606","3258","1677","1072","877","558","8843","2297","4065","1376","495","665","1228","697","0","189","1543","739","1022","666","3291","1540"
"0500000US18097","Marion County, Indiana","868687","442","758877","6028","71424","4050","2536","1057","1289","501","1463","750","7563","1795","765","579","3564","1352","821","778","1206","859","9036","2543","10143","3149"
"0500000US18105","Monroe County, Indiana","138313","496","123821","1663","1948","772","461","400","946","532","150","243","2033","780","1618","761","3726","1133","708","731","150","234","1815","890","937","815"
"0500000US18127","Porter County, Indiana","158595","375","148632","1934","5216","1416","154","157","806","428","751","572","1431","884","23","43","441","379","433","624","74","137","347","297","287","296"
"0500000US18141","St. Joseph County, Indiana","251019","27","226059","2401","13968","1560","814","578","1016","575","942","503","2536","1286","61","100","1852","772","243","227","260","274","634","428","2634","1188"
"0500000US18157","Tippecanoe County, Indiana","175094","252","145292","2526","11518","1340","297","331","614","345","1230","682","3518","1252","903","545","7922","1572","1413","1730","361","340","709","374","1317","980"
"0500000US18163","Vanderburgh County, Indiana","170585","429","163817","1514","3780","1082","200","132","261","188","182","214","684","554","64","113","49","98","529","570","455","515","230","209","334","391"
"0500000US19013","Black Hawk County, Iowa","125349","307","115153","1468","4806","858","636","619","429","344","1977","1087","1138","760","0","155","75","137","93","161","170","221","642","571","230","252"
"0500000US19103","Johnson County, Iowa","135623","534","118108","2426","4777","1211","1338","844","1664","1554","464","359","645","463","423","434","4493","1396","452","394","356","462","1231","674","1672","954"
"0500000US19113","Linn County, Iowa","206160","525","197053","2135","3627","1292","1283","1135","618","459","206","229","1395","1248","22","36","0","155","29","36","0","155","1400","1289","527","424"
"0500000US19153","Polk County, Iowa","433796","61","376732","4522","25591","2173","463","312","1209","628","6231","2791","2121","859","424","377","1092","640","3780","1497","772","565","7336","2089","8045","2572"
"0500000US19163","Scott County, Iowa","161021","241","150395","1804","5157","1249","879","551","442","284","67","110","594","556","286","324","143","188","1165","1061","0","155","1477","965","416","532"
"0500000US20045","Douglas County, Kansas","111267","555","99875","2181","4758","1703","282","224","667","460","279","392","1950","594","417","467","1472","736","5","9","121","223","429","317","1012","621"
"0500000US20091","Johnson County, Kansas","541935","202","480540","4730","26513","3093","1963","779","1466","726","2303","1034","7624","1856","954","484","4024","1445","2895","1438","444","337","7049","1714","6160","1535"
"0500000US20161","Riley County, Kansas","69557","667","61232","1414","2923","812","334","325","468","403","94","152","341","274","309","425","2149","613","123","207","164","268","401","555","1019","674"
"0500000US20173","Sedgwick County, Kansas","474065","304","407268","3806","41538","3707","868","571","2116","1070","214","207","2058","1140","159","123","442","325","10849","2037","652","332","4670","1779","3231","1773"
"0500000US20209","Wyandotte County, Kansas","149969","96","109618","2368","32222","2015","199","213","182","161","949","1035","887","661","0","168","337","324","643","557","159","187","3561","968","1212","724"
"0500000US21015","Boone County, Kentucky","118483","644","110071","2070","3959","692","665","591","144","109","75","132","979","858","0","187","246","269","0","187","0","187","1337","842","1007","1076"
"0500000US21067","Fayette County, Kentucky","294724","3","259148","2948","18634","1304","1085","659","1442","796","929","450","2082","918","1304","1095","2831","1038","154","163","921","623","2352","1059","3842","2087"
"0500000US21093","Hardin County, Kentucky","99320","500","93073","1314","3017","1152","146","169","880","440","0","187","410","348","299","232","192","268","132","203","31","52","620","575","520","495"
"0500000US21111","Jefferson County, Kentucky","714189","202","654910","5378","25660","2283","1755","660","1998","584","3791","2053","7102","1641","521","409","2548","1268","2921","1323","1748","997","2559","1742","8676","3824"
"0500000US21117","Kenton County, Kentucky","153677","159","147611","1261","3182","799","171","143","668","468","43","73","721","561","0","187","366","382","107","130","687","613","73","129","48","84"
"0500000US21227","Warren County, Kentucky","115374","263","100045","2334","5758","515","46","80","241","219","2669","1555","1563","839","39","63","200","234","253","260","67","113","2144","874","2349","1775"
"0500000US22015","Bossier Parish, Louisiana","116715","471","110202","2042","2876","1132","186","150","278","246","36","66","413","391","84","141","0","204","0","204","659","540","466","378","1515","1389"
"0500000US22017","Caddo Parish, Louisiana","233167","322","225026","1745","3545","1357","836","583","222","159","420","424","782","617","0","204","708","796","519","449","309","297","478","408","322","416"
"0500000US22019","Calcasieu Parish, Louisiana","185531","574","169789","2507","4950","1634","5871","1301","350","402","0","204","1736","953","145","199","42","72","1190","916","233","231","814","804","411","481"
"0500000US22033","East Baton Rouge Parish, Louisiana","417860","1520","380790","3565","14761","2784","4109","1029","1173","1058","927","606","2864","1412","339","482","3113","1818","7056","1937","349","383","1342","1044","1037","734"
"0500000US22051","Jefferson Parish, Louisiana","409555","699","335531","4565","46186","3101","4856","1536","294","214","690","645","3878","1402","926","1177","1831","1388","9376","1802","670","810","887","604","4430","2158"
"0500000US22071","Orleans Parish, Louisiana","365909","284","333788","2126","15630","1829","3211","1009","807","523","390","230","1296","468","311","266","1368","764","7725","1097","157","211","359","293","867","559"
"0500000US22103","St. Tammany Parish, Louisiana","235497","238","221652","2891","8096","2515","1564","736","411","279","234","265","881","597","142","236","568","591","1373","935","0","204","159","207","417","382"
"0500000US23001","Androscoggin County, Maine","100644","217","88787","1669","1217","686","7997","1294","185","169","357","229","321","242","0","163","441","373","228","294","146","217","90","79","875","677"
"0500000US23003","Aroostook County, Maine","65281","175","55586","1273","371","288","8287","1075","173","141","24","20","209","197","35","60","73","74","106","148","45","77","23","47","349","285"
"0500000US23005","Cumberland County, Maine","275665","431","255408","2876","3321","978","5869","1808","228","132","2325","1267","1822","1007","0","163","721","914","71","129","973","932","1369","845","3558","1726"
"0500000US23011","Kennebec County, Maine","114109","373","109116","1054","865","455","2362","867","77","93","48","57","391","385","0","163","562","339","19","33","147","156","311","266","211","188"
"0500000US23019","Penobscot County, Maine","145229","603","139497","1267","953","489","2387","691","564","411","72","76","860","535","129","184","255","272","34","61","0","163","181","202","297","218"
"0500000US24003","Anne Arundel County, Maryland","528581","313","472662","4336","26014","2654","1605","618","1611","584","2044","834","8794","2054","2184","980","1950","918","1042","890","2535","1135","2969","1305","5171","2007"
"0500000US24005","Baltimore County, Maryland","781100","233","664662","6029","34287","2642","6436","1986","1824","666","8719","1638","24391","3814","3734","1543","7104","2266","1951","1049","4412","1215","7319","1823","16261","3923"
"0500000US24013","Carroll County, Maryland","159713","482","150789","1812","3282","655","330","292","907","556","826","746","2313","1253","277","282","340","355","89","142","322","432","151","180","87","96"
"0500000US24017","Charles County, Maryland","146827","340","135759","2194","4126","1137","346","356","711","406","450","570","1774","977","65","118","535","460","275","463","1653","598","228","204","905","804"
"0500000US24021","Frederick County, Maryland","230951","526","196943","3342","16261","1939","1494","1286","839","550","2416","1919","2221","1057","1399","994","1576","1034","1613","1274","659","463","2616","1207","2914","1307"
"0500000US24025","Harford County, Maryland","236356","398","218722","2859","6489","1850","1018","1115","925","525","518","573","4993","1951","1093","727","553","439","0","195","724","519","572","489","749","544"
"0500000US24027","Howard County, Maryland","294781","3","221908","4518","14738","1723","4922","2492","1331","523","2148","956","14949","2790","9668","2476","8157","1970","1787","1071","1114","974","8068","2217","5991","1921"
"0500000US24031","Montgomery County, Maryland","972081","207","577803","8833","161371","3866","27915","5113","4692","1308","11312","2446","53760","6351","13869","2769","38378","3762","12816","4277","9582","2456","19437","3106","41146","5342"
"0500000US24033","Prince George's County, Maryland","849619","211","625033","6361","132620","3285","16436","2778","1686","804","1354","819","14868","3151","2520","1270","5097","1371","2238","1011","8835","2157","5353","1674","33579","5322"
"0500000US24043","Washington County, Maryland","141039","145","130242","2110","4559","890","616","437","1276","1288","259","192","2751","1270","256","291","246","371","0","195","488","446","62","84","284","246"
"0500000US24045","Wicomico County, Maryland","96936","292","86066","2117","3389","797","3490","1709","271","242","348","373","2173","840","520","599","0","195","0","195","0","195","503","466","176","185"
"0500000US24510","Baltimore city, Maryland","580480","206","525961","4636","21484","1803","5733","2308","1139","488","1809","738","8085","2045","1305","554","3279","989","101","117","1980","1077","1562","594","8042","2563"
"0500000US25001","Barnstable County, Massachusetts","206286","537","188935","3512","4120","1246","1859","1265","534","285","2126","1350","7536","2329","0","200","39","75","330","550","368","399","391","436","48","83"
"0500000US25003","Berkshire County, Massachusetts","122552","465","112700","1808","4994","1035","558","524","374","219","1239","671","1535","942","138","149","244","183","0","200","0","200","451","273","319","371"
"0500000US25005","Bristol County, Massachusetts","527940","199","421450","6544","26876","2256","10182","2480","673","321","1529","818","55533","5391","368","386","2993","1525","890","678","112","126","2441","1417","4893","2315"
"0500000US25009","Essex County, Massachusetts","732178","172","548746","5584","114275","3206","11001","2009","2863","1576","6959","2235","27036","3781","1265","769","3815","1062","1915","975","411","377","7238","1883","6654","2246"
"0500000US25011","Franklin County, Massachusetts","67786","138","63017","1191","2238","662","523","420","224","195","349","231","674","401","231","366","0","200","90","172","0","200","13","28","427","436"
"0500000US25013","Hampden County, Massachusetts","443259","71","330093","6161","76889","3388","3581","1214","908","469","10765","3227","11788","3387","217","266","1889","908","2307","1264","715","575","2700","1471","1407","688"
"0500000US25015","Hampshire County, Massachusetts","156165","305","138330","1957","5004","1005","1705","651","1009","501","1051","441","2160","891","1006","521","3266","843","133","124","112","180","1113","648","1276","971"
